"","who_retweet","who_post"
"1","marifested","10avendano"
"2","Stevo_Atkinson","121Visas"
"3","Stevo_Atkinson","121Visas"
"4","Stevo_Atkinson","121Visas"
"5","sam4wong","19pst"
"6","CoffyBrownChi","1Ronzee"
"7","PierreLaing","1stContact"
"8","mila350","1stContact"
"9","Futuropolis","20minutesCult"
"10","_khunfused","2PMFAH"
"11","whiekhun","2PMFAH"
"12","buckyeahKhun","2PMFAH"
"13","myboytaec","2PMFAH"
"14","besidewooyoung","2PMFAH"
"15","elle_jwy","2PMFAH"
"16","2PMints","2PMFAH"
"17","woolipop","2PMFAH"
"18","taeccats","2PMFAH"
"19","Poon191","2PMFAH"
"20","wooshio_","2PMFAH"
"21","khunjagiya","2PMFAH"
"22","khuns_Nuna","2PMFAH"
"23","nkfebruaryfifth","2PMFAH"
"24","agness2310","2PMFAH"
"25","littlebytesnews","2tweetaboutit"
"26","KillSocialism","2tweetaboutit"
"27","littlebytesnews","2tweetaboutit"
"28","ZwarteKaat","2tweetaboutit"
"29","PappyDera","36Daily_Com"
"30","wolecypher","36Daily_Com"
"31","wolecypher","36Daily_Com"
"32","PappyDera","36Daily_Com"
"33","KingKongDizzle","36daily_com"
"34","NG_DailyNews","36daily_com"
"35","KingKongDizzle","36daily_com"
"36","NG_DailyNews","36daily_com"
"37","WoruleCool","36daily_com"
"38","mkanno24","38_degrees"
"39","lagringaeterna","38_degrees"
"40","ALSelley","38_degrees"
"41","apmcdonnell","38_degrees"
"42","venetiarainey","38_degrees"
"43","satoshidate","38_degrees"
"44","AineRoseCampbel","38_degrees"
"45","zizastan","38_degrees"
"46","jeffhamann","38_degrees"
"47","mundocitizen","38_degrees"
"48","franosch","69MiB"
"49","franosch","69MiB"
"50","7HenriettaSt","7HenriettaSt"
"51","olomi_F","937RhythmFm"
"52","N_FonCK","9GAG"
"53","CollectorX1","9GAG"
"54","alexapostolides","9GAG"
"55","DC_TheJoker","9GAG"
"56","OctaAbri","9GAG"
"57","FcukNobodySays","9GAG"
"58","LD4SOS","@BritishQuakers"
"59","Bridgeanne","@BritishQuakers"
"60","kaparu2","@BritishQuakers"
"61","leedsgarcia","@MarioDB"
"62","houndworthy","@inspiringshops"
"63","ABA_Immigration","ABANews"
"64","maywongchou","ABC"
"65","NicoletteGlazer","ABC"
"66","bernallaw","ABC"
"67","CO_Politico","ABC"
"68","NicoletteGlazer","ABC"
