"","who_post","who_retweet","rt_tweet"
"1","19pst","sam4wong","RT @19pst: Another #Immigration Bill, another fine mess. A fine piece from @alexmassie in the Spectator:  http://t.co/uEfMPLjwLj @AmnestyUK"
"2","1stContact","mila350","Changes to UK immigration rules from October 2013 - http://t.co/FL52KMwcrR #1stContact via @1stContact"
"3","1stContact","PierreLaing","Changes to UK immigration rules from October 2013 - http://t.co/n8Jb82a3Fn #1stContact via @1stContact"
"4","2tweetaboutit","KillSocialism","RT @2tweetaboutit: UKIP: Health insurance is most effective and fairest approach to migrant healthcare issue &gt;&gt; And for the rest of us."
"5","2tweetaboutit","littlebytesnews","RT @2tweetaboutit: Mum beaten senseless by Lithuanian migrant is told: 'Drop the charges and get £150' | UK  http://t.co/h2ZggDLqmJ"
"6","2tweetaboutit","littlebytesnews","RT @2tweetaboutit: Mum beaten senseless by Lithuanian migrant is told: 'Drop the charges and get £150' | UK  http://t.co/S8UhWoxt5q"
"7","@BritishQuakers","LD4SOS","From Quakers in Britain: Quaker statement on immigration detention   http://t.co/9qXPNRDdKi via @@BritishQuakers"
"8","@BritishQuakers","kaparu2","From Quakers in Britain: Quaker statement on immigration detention   http://t.co/GstjAfbjan via @@BritishQuakers"
"9","@BritishQuakers","Bridgeanne","From Quakers in Britain: Quaker statement on immigration detention   http://t.co/xCSehDgphH via @@BritishQuakers"
"10","ABANews","ABA_Immigration","ABA cautions immigrants against notarios http://t.co/pPjI2UVpUk via @ABANews"
"11","ABC","maywongchou","House Democrats to Introduce Immigration Reform Bill - ABC News http://t.co/XksdZFuKSK (via @ABC)"
"12","ABC","NicoletteGlazer","UK Gov't Introduces Tough Immigration Bill - ABC News http://t.co/NiZa9u26EB (via @ABC)"
"13","ADEIMAGE","SHAmoolah14","Lmao RT @ADEIMAGE: Only if UK Border Force gave rewards for turning in immigrants. I will snitch on my whole church."""
"14","AIECAustraliaEU","AIECAustraliaEU","New #Immigration Bill #UK International Education #IntlEd http://t.co/N3hnX97SxB via @AIECAustraliaEU"
"15","AJAM","Scoobydoo007","#Migrant boat capsizes off Italian coast via @AJAM  http://t.co/Hxxfk2vgaf @afp @bbc #Malta #Italy #Lampeduza #France #Tunisia #Libya #UK"
"16","AJAM","MigrantVoiceUK","UK? RT  France to accept Syrian refugees amid surge in anti-immigration politics | Al Jazeera America via @AJAM  http://t.co/wmTP7Mkd48"
"17","AJAMStream","JesseSelf720","Watch tonight at 7:30 EST ""Privatizing the #Undocumented"" http://t.co/H91guk3fWA via @AJAMStream #immigration #prison"
"18","AJAMStream","asktheduchess","MT @julito77 Immigration and private prison companies infographic via @AJAMStream http://t.co/coUkTYfm7e"
"19","AJEnglish","aliciasaldenha","UK illegal migrant texts go off-message http://t.co/1yRUTJ3Y7k via @AJEnglish"
"20","AJEnglish","crazykritic","UK illegal migrant texts go off-message http://t.co/S4DvOV7Df3 via @AJEnglish Wow isn't that some sort of human rights violation?"
"21","AJEnglish","femz_scolari","#BennyCapricon UK illegal migrant texts go off-message: Controversial warning to leave sent to ... http://t.co/8WUh1aoKJy via @AJEnglish"
"22","AJEnglish","Bordercrim","From the UK: Home Office texts to 'illegal migrants' ""go home"" http://t.co/0emMV5lDXZ via @AJEnglish #immigration #gohome"
"23","AJEnglish","MediterrNewsNet","UK illegal migrant texts go off-message http://t.co/ejjuglzr9f via @AJEnglish"
"24","AJEnglish","Katrinespolicy","UK illegal migrant texts go off-message http://t.co/LTPDbgmPp6 via @AJEnglish"
"25","AJEnglish","zsstevens","UK Tory Government's ""illegal migrant"" texts go off-message http://t.co/fnc24xEddb via @AJEnglish"
"26","AJEnglish","Morgan_Finnsio","AJE: UK illegal migrant texts go off-message http://t.co/JagBRTpZEL via @AJEnglish"
"27","AJStream","Gobbledegook42","Got to be another way? People deserve better RT @AJStream London protests over immigration crackdown http://t.co/EZSVlkNP2A #sbsdemo #UKBA"
"28","AJStream","Gobbledegook42","Must be another way? People deserve better RT @AJStream London protests over immigration crackdown http://t.co/EZSVlkNP2A #sbsdemo #UKBA"
"29","AJStream","UkImmigMagazine","London protests over immigration crackdown #SBSDemo #UKBA http://t.co/2OqXpw7K3R via @AJStream"
"30","AJStream","raisazaidi","London protests over immigration crackdown -  http://t.co/2U2HbYpcCU via @AJStream  #SBSDemo #UKBA h/t @ZacAlf"
"31","AJStream","NooreenPirbhai","Posting in solidarity with the protestors in #London. RT @AJStream London protests over immigration crackdown - http://t.co/rXfMFmeraR #ukba"
"32","AJStream","Ramisms","London protests over immigration crackdown #SBSDemo #UKBA http://t.co/s2JjdQLf0k via @AJStream"
"33","AJStream","WajahatAli","London protests over immigration crackdown #SBSDemo #UKBA http://t.co/VDZ2borFuY via @AJStream"
"34","AJStream","OpenCircuit","London protests over immigration crackdown #SBSDemo #UKBA http://t.co/7nhkt4KSBc via @AJStream"
"35","AJStream","macaca69","London protests over immigration crackdown #SBSDemo #UKBA http://t.co/pM4pyn9jhq via @AJStream"
"36","AJStream","alvaroelima","London protests over immigration crackdown #SBSDemo #UKBA  via @AJStream http://t.co/gHist2VkW4"
"37","AJStream","mmbilal","Protesters in London's Chinatown and Southall speak out against UK immigration policy http://t.co/d2TL77Nbau via @AJStream #UKBA"
"38","AJStream","kiddingthecity","London protests over immigration crackdown #SBSDemo #UKBA http://t.co/qM9YIRE5hL via @AJStream"
"39","AJStream","kkendd","London protests over immigration crackdown #SBSDemo #UKBA http://t.co/jvI1Nq1tGF via @AJStream"
"40","AKTravel_UK","atta_tourism","RT @AKTravel_UK: Catch the Great Wildebeest Migration for a wild-at-heart #honeymoon via @youyourwedding http://t.co/ufbvBHdq3E #Safari"
"41","ALU_TechZine","telecoua","The Time is Right for PSTN Migration | TechZine | Alcatel-Lucent http://t.co/O9sQHuksBE via @ALU_TechZine"
"42","APPGMigration","LifeInTheUK2013","via @APPGMigration more Immigration Rule changes from @ukhomeoffice http://t.co/MuNyuKDv2j"
"43","APPGMigration","OanaRomocea","RT  indeed! @Hannah_J_Lewis: Opposition party? RT @APPGMigration: Labour backs Theresa May's Immigration Bill http://t.co/JYpZ2UkmZq"
"44","ASI","jontycampbell","RT @ASI Don't fear immigration from #Romania and #Bulgaria http://t.co/B89y9U8e7d"
"45","AbdurRahmanOrg","7uuria","Hijrah (migration) from the Lands of the Raafidah is obligatory  - Shaykh Abdullaah Al-Bukhaar& http://t.co/Sbnls8nshR via @AbdurRahmanOrg"
"46","AbdurRahmanOrg","salafyakh","Hijrah (migration) from the Lands of the Raafidah is obligatory  - Shaykh Abdullaah Al-Bukhaar& http://t.co/2MgidZJfjz via @AbdurRahmanOrg"
"47","AccuracyInMedia","grissmerlaw","Immigration Update: Arizona requires Citizenship Proof to vote in State Elections http://t.co/HukVa9OOOW via @AccuracyInMedia"
"48","AddThis","saltcaycharlie","Can Obama use immigration to tease the Tea Party into defeat? |News | The Week UK http://t.co/DCQY09ugRw via @AddThis"
"49","Ajstream","ShahHossain","London protests over immigration crackdown - http://t.co/iHQYPK9CKa #sbsdemo #UKBA via @Ajstream"
"50","AmazonUK","breizh2008","I just wished for: 'Exodus: Immigration and Multiculturalism in the 21st Century' by Paul Collier via @AmazonUK http://t.co/LKcvnT0mGZ"
"51","AmazonUK","Justme_oghumu","Real Life in the UK: Reflections of an Immigrant Doctor by Sylvester Mujakperuo 
http://t.co/vDOJRbPf6X via @AmazonUK"
"52","AmericanThinker","MrHappy4870","RT @AmericanThinker How can a person here illegally get a driver's license? http://t.co/uKCTGD3zIy #immigration #tcot #tlot #teaparty"
"53","AmnestyScotland","sam4wong","RT @AmnestyScotland: Migrant boat sinking in Egypt highlights plight of refugees from #Syria http://t.co/NJhTvUueWq @Refugees @UNHCRUK @WHO"
"54","Amyloukingery","mick27332","RT @Amyloukingery: Typical http://t.co/XupEJde4b3. You can add immigration law as ignored by Obama."
"55","AnjumKiani","AQpk","RT @AnjumKiani: Bus driver &amp; #Pakistani immigrant's son  tipped for #UK cabinet role in reshuffle http://t.co/TDhKVPwAco #SajidJaved"
"56","AntonLaGuardia","GRAFIXEL","""non-active"" EU immigrants in UK RT @AntonLaGuardia ""True scale of European immigration"" Explosive, if accurate  http://t.co/ACv17CpKft"
"57","ArticlesBase","abhinavimmi","Canada Immigration Visa Service Office in Bangalore Mg Road: http://t.co/PoGPJAUkok via @ArticlesBase"
"58","Arturo_Sarukhan","gerodriguezsl","RT @Arturo_Sarukhan: Kudos #CA Gov Jerry Brown for signing law allowing undocumented immigrants to apply licenses to drive; enhance safety."
"59","Arturo_Sarukhan","anamacouzet","US #immigration reform and the policy of deportations  http://t.co/M3bLYe4oiI via @Arturo_Sarukhan"
"60","AskEbuka","Charly216","Immigration? No? Okay RT @AskEbuka: What's Nigeria's current Problem? #NigeriaQuiz"
"61","AstonBondLLP","the_legal_hour","RT @AstonBondLLP: Read our article on ""The Loopholes in the UK Immigration System"" at http://t.co/DJCUlMENx8 #thelegalhour"
"62","AtheistRepublic","LailaParmoon","Five Reasons Why Atheists Must Support Immigration http://t.co/FUK66oP0H7 via @AtheistRepublic"
"63","AtwalPost","AtwalPost","'Go home' vans to be scrapped as experiment is a failure. #UK #immigration  http://t.co/he2GWPuIKd via @AtwalPost"
"64","BAILII","asielenmigratie","UKUT Babajanov (Continuity of residence - Immigration (EEA) Regulations 2006) Azerbaijan [2013] UK... http://t.co/aMJLvO8tOW via @BAILII"
"65","BBCAfrica","Tamasin_Ford","RT @BBCAfrica Vans telling illegal immigrants in UK to ""go home"" or face arrest will not be rolled out nationwide http://t.co/1NECfjGZEE"
"66","BBCAfrica","Ladipo_GH","cc @Baffy_ RT @BBCAfrica: UK government says vans telling illegal immigrants to ""go home"" or face arrest will not be rolled out nationwide"
"67","BBCBreaking","markmccarthyoxf","Why crushing UKIP, GoldenDawn etc matters. RT @BBCBreaking: Death toll in migrant boat sunk off S Italy now 62. http://t.co/NskvPIgEbK"
"68","BBCBusiness","KeoghsSolicitor","RT @BBCBusiness UK to relax Chinese visa rules http://t.co/MO8VpFke0p #immigration"
"69","BBCDomC","LauraDevineLaw","Immigration Bill: Will it cut abuse and costs? via @BBCDomC #immigration #UK http://t.co/fQLB2r0vIh"
"70","BBCMarkEaston","kirsty36","RT @BBCMarkEaston: 64% of UK citizens said non-EEA migrant access to NHS should NOT be based on permanent residence."
"71","BBCNews","YildirimNews","Immigration Bill to be published http://t.co/08YnneijYY via @BBCNews #UK"
"72","BBCNews","the_solicitors","May: Living in UK to get tougher for #illegal #immigrants. Read more via @BBCNews http://t.co/4mwHJ7buKc"
"73","BBCNews","KevinMinott","Immigration stories make front pages http://t.co/jrwDKd1kCb RT @BBCNews UK"
"74","BBCNews","YildirimNews","Immigration stories make front pages http://t.co/uuaaeDwBxY via @BBCNews #UK"
"75","BBCNews","YildirimNews","Police stage migrant worker raids http://t.co/Tpk30ixH26 via @BBCNews #UK"
"76","BBCNews","AbbeySolicitors","May:Living in UK to get tougher for illegal immigrants http://t.co/pNJTDBOfsZ via @BBCNews"
"77","BBCNews","Mleigh89","RT @BBCNews: New legislation aimed at making it harder for illegals to settle in #UK due to be published http://t.co/6gMzmanykE #Immigration"
"78","BBCNews","KevinMinott","Complaints over immigration texts http://t.co/JoN0wXW4Un RT @BBCNews UK"
"79","BBCNews","KevinMinott","Fire at immigration detention centre http://t.co/3F3Q1XuJ1x RT @BBCNews UK"
