"","who_retweet","who_post"
"1","marifested","10avendano"
"2","Stevo_Atkinson","121Visas"
"3","Stevo_Atkinson","121Visas"
"4","CoffyBrownChi","1Ronzee"
"5","lagringaeterna","38_degrees"
"6","apmcdonnell","38_degrees"
"7","mkanno24","38_degrees"
"8","ALSelley","38_degrees"
"9","franosch","69MiB"
"10","franosch","69MiB"
"11","alexapostolides","9GAG"
"12","CollectorX1","9GAG"
"13","DC_TheJoker","9GAG"
"14","N_FonCK","9GAG"
"15","davidscris","AFN1982"
"16","AIECAustraliaEU","AIECAustraliaEU"
"17","thejaoana","AJAM"
"18","danwibg","AJAM"
"19","VRosenboom","AJAM"
"20","robinwilson250","AJEnglish"
"21","Villagecoal","AJEnglish"
"22","MEMagnello","AJEnglish"
"23","berthold69de","AJEnglish"
"24","AnnetteMcEwan1","AJEnglish"
"25","HatemBazian","AJEnglish"
"26","781Moksha2011","AJEnglish"
"27","legyptian","AJEnglish"
"28","epkaufm","AJEnglish"
"29","soowede","AJEnglish"
"30","UptownBerber","AJEnglish"
"31","iyazir","AJEnglish"
"32","BurmaBirma","AJEnglish"
"33","rattlecans","AJEnglish"
"34","VisegradInsight","AJEnglish"
"35","LibertyTaxYYC","AJEnglish"
"36","hermannaubie","AJEnglish"
"37","Wangari_Tharao","AJEnglish"
"38","migrationwatch","AJEnglish"
"39","SussexUni","AJEnglish"
"40","TedCantle","AJEnglish"
"41","TurnbullRuther","AJEnglish"
"42","Canberra_Labor","ALeighMP"
"43","MuseumsAtMQ","ANMMuseum"
"44","calvinhyj","APPGMigration"
"45","andreimuri","AdamBienkov"
"46","MohammadZaam","AlArabiya_Eng"
"47","bjsnider","AlbertoGalasso"
"48","usworkvisas","AlexNowrasteh"
"49","nolongerlib","AllenWest"
"50","SpecialService4","AllenWest"
"51","SueKich","AmazonUK"
"52","tamalyn1","AmazonUK"
"53","MrHarryCole","AmulPPandya"
"54","Dan4Liberty","Amyloukingery"
"55","AnnaZvag","AnaDoriaSarbu"
"56","Seyyid_Tito","AndyCavster"
"57","lilithlela","AnonAlive"
"58","turkyabanci","Ataqoz"
"59","GlobalImmigrant","AtlanticCities"
"60","jeaniebgd","Atlasshrugs"
"61","senordelcorbett","Audioboo"
"62","iRSSNews","BBC"
"63","BSW_Info","BBCBusiness"
"64","greenpeacepress","BBCNature"
"65","YildirimNews","BBCNews"
"66","YildirimNews","BBCNews"
